JobTitle,JobTitleURI,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
salesperson,https://www.wikidata.org/wiki/Q685433,Male,19,3,doctorate,management,4,94492,8209
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,39,4,doctorate,operations management,2,75901,7402
salesperson,https://www.wikidata.org/wiki/Q685433,Male,33,3,master's degree,operations management,5,100463,6332
salesperson,https://www.wikidata.org/wiki/Q685433,Female,40,4,master's degree,operations management,5,92276,9551
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,21,2,college,engineer,5,92458,6966
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,46,4,high school,government administration,4,88571,7464
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,39,4,doctorate,management,3,87409,7168
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,58,5,college,marketing,4,133927,8278
manager,https://www.wikidata.org/wiki/Q2462658,Male,33,4,master's degree,marketing,1,90482,7094
marketing,https://www.wikidata.org/wiki/Q39809,Female,27,4,high school,marketing,4,87435,9230
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,65,5,high school,operations management,4,130251,7750
manager,https://www.wikidata.org/wiki/Q2462658,Female,34,3,master's degree,management,2,106560,7257
software developer,https://www.wikidata.org/wiki/Q183888,Male,56,5,college,operations management,3,107366,7774
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,34,4,high school,marketing,1,56172,7739
marketing,https://www.wikidata.org/wiki/Q39809,Female,35,4,master's degree,marketing,2,58807,7316
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,49,4,master's degree,marketing,4,126626,7144
manager,https://www.wikidata.org/wiki/Q2462658,Female,24,3,doctorate,marketing,3,104202,8456
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,39,4,doctorate,operations management,3,77793,8093
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,45,4,high school,operations management,2,84930,6914
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,32,3,master's degree,engineer,2,69367,6378
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,65,5,master's degree,operations management,5,116751,8505
software developer,https://www.wikidata.org/wiki/Q183888,Male,52,4,master's degree,government administration,5,139841,7641
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,52,4,college,government administration,2,78750,6666
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,38,3,college,government administration,5,93306,8265
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,19,4,master's degree,operations management,2,60892,8462
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,20,2,master's degree,engineer,5,99543,6111
salesperson,https://www.wikidata.org/wiki/Q685433,Female,29,3,doctorate,operations management,2,56745,6495
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,29,4,college,operations management,1,59458,7939
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,18,2,master's degree,marketing,4,71824,6397
software developer,https://www.wikidata.org/wiki/Q183888,Male,64,5,high school,operations management,2,111903,6824
information technology,https://www.wikidata.org/wiki/Q11661,Male,55,5,college,marketing,3,104361,7813
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,22,2,high school,marketing,5,91568,7139
software developer,https://www.wikidata.org/wiki/Q183888,Male,59,4,master's degree,engineer,4,155834,7101
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,30,5,master's degree,marketing,1,83620,7864
marketing,https://www.wikidata.org/wiki/Q39809,Female,50,5,doctorate,government administration,1,81995,7840
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,27,4,doctorate,marketing,1,66125,8465
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,27,3,college,engineer,5,89678,7778
salesperson,https://www.wikidata.org/wiki/Q685433,Female,57,5,master's degree,operations management,3,98321,8980
manager,https://www.wikidata.org/wiki/Q2462658,Male,48,4,college,management,1,109346,7730
manager,https://www.wikidata.org/wiki/Q2462658,Female,62,4,master's degree,marketing,4,155203,7808
information technology,https://www.wikidata.org/wiki/Q11661,Male,64,5,doctorate,management,2,98100,7460
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,29,3,high school,management,4,73306,7765
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,40,5,college,engineer,2,68797,7817
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,58,4,college,management,4,120154,6751
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,22,3,college,marketing,4,76865,8145
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,59,4,doctorate,management,4,125770,8013
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,36,4,high school,government administration,5,119931,8400
marketing,https://www.wikidata.org/wiki/Q39809,Female,55,4,master's degree,operations management,1,71794,6685
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,54,4,college,management,2,87998,7028
software developer,https://www.wikidata.org/wiki/Q183888,Male,63,4,high school,government administration,5,140445,7905
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,18,2,college,government administration,5,85306,7735
salesperson,https://www.wikidata.org/wiki/Q685433,Female,31,3,high school,operations management,3,77275,7089
manager,https://www.wikidata.org/wiki/Q2462658,Male,48,4,doctorate,marketing,4,143887,7622
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,58,4,high school,marketing,5,130720,7246
software developer,https://www.wikidata.org/wiki/Q183888,Female,41,4,doctorate,marketing,1,86675,7947
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,22,3,college,operations management,2,56954,7550
information technology,https://www.wikidata.org/wiki/Q11661,Male,63,5,master's degree,operations management,5,133472,8688
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,23,3,master's degree,government administration,1,62753,7242
salesperson,https://www.wikidata.org/wiki/Q685433,Male,63,5,doctorate,operations management,4,128173,8360
software developer,https://www.wikidata.org/wiki/Q183888,Female,28,3,college,engineer,5,112491,8727
marketing,https://www.wikidata.org/wiki/Q39809,Female,22,4,doctorate,operations management,1,36548,8090
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,62,4,doctorate,engineer,1,88781,6413
software developer,https://www.wikidata.org/wiki/Q183888,Male,65,4,high school,management,5,157852,6669
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,51,4,doctorate,operations management,4,113730,6578
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,57,5,college,management,1,68403,6893
manager,https://www.wikidata.org/wiki/Q2462658,Male,59,4,doctorate,marketing,5,176789,6773
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,45,3,master's degree,marketing,5,129226,6912
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,24,3,college,engineer,2,59399,6692
salesperson,https://www.wikidata.org/wiki/Q685433,Male,61,5,doctorate,management,1,102473,8468
manager,https://www.wikidata.org/wiki/Q2462658,Female,60,4,doctorate,management,3,160614,8354
salesperson,https://www.wikidata.org/wiki/Q685433,Female,28,3,doctorate,marketing,3,89570,7411
marketing,https://www.wikidata.org/wiki/Q39809,Female,41,4,college,marketing,3,73989,8780
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,35,4,master's degree,management,2,67762,7449
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,35,4,college,government administration,4,90307,7663
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,38,3,master's degree,management,2,77751,6554
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,57,4,high school,management,1,87150,6814
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,19,2,college,marketing,2,79291,5000
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,55,5,master's degree,engineer,1,79144,8328
manager,https://www.wikidata.org/wiki/Q2462658,Male,62,5,doctorate,engineer,3,150467,8100
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,31,3,master's degree,engineer,2,57070,6615
marketing,https://www.wikidata.org/wiki/Q39809,Female,49,4,college,marketing,4,102201,7640
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,37,4,college,engineer,3,70088,8244
marketing,https://www.wikidata.org/wiki/Q39809,Female,24,3,doctorate,operations management,4,57782,7144
manager,https://www.wikidata.org/wiki/Q2462658,Male,32,3,high school,operations management,4,117629,6291
salesperson,https://www.wikidata.org/wiki/Q685433,Male,28,3,master's degree,government administration,5,118653,7036
marketing,https://www.wikidata.org/wiki/Q39809,Female,38,2,high school,management,5,71772,5764
software developer,https://www.wikidata.org/wiki/Q183888,Male,65,5,master's degree,marketing,1,134758,7500
marketing,https://www.wikidata.org/wiki/Q39809,Female,53,5,college,government administration,1,66438,6935
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,46,3,high school,operations management,4,87134,6184
marketing,https://www.wikidata.org/wiki/Q39809,Female,57,4,college,operations management,3,79674,6993
marketing,https://www.wikidata.org/wiki/Q39809,Female,45,3,college,engineer,4,85161,6682
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,34,2,doctorate,management,5,114479,6700
marketing,https://www.wikidata.org/wiki/Q39809,Male,25,3,college,operations management,4,65547,6530
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,33,3,high school,government administration,3,71946,6386
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,64,5,high school,operations management,3,96777,7736
marketing,https://www.wikidata.org/wiki/Q39809,Female,23,3,doctorate,government administration,3,62054,6955
software developer,https://www.wikidata.org/wiki/Q183888,Male,26,3,high school,marketing,2,61527,6345
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,24,3,high school,management,1,64624,8253
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,49,4,master's degree,government administration,5,118629,6740
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,19,2,doctorate,management,5,80171,6454
salesperson,https://www.wikidata.org/wiki/Q685433,Female,47,3,college,government administration,4,105410,6363
software developer,https://www.wikidata.org/wiki/Q183888,Male,36,4,doctorate,management,3,112134,8587
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,42,3,master's degree,engineer,1,90005,6631
marketing,https://www.wikidata.org/wiki/Q39809,Female,50,5,high school,operations management,1,70374,7466
manager,https://www.wikidata.org/wiki/Q2462658,Male,21,2,college,government administration,5,121682,7189
marketing,https://www.wikidata.org/wiki/Q39809,Female,49,4,doctorate,operations management,5,104355,7555
information technology,https://www.wikidata.org/wiki/Q11661,Female,49,4,college,engineer,1,75811,5520
salesperson,https://www.wikidata.org/wiki/Q685433,Male,48,3,master's degree,engineer,5,113544,6839
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,22,2,master's degree,operations management,4,107025,6577
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,20,3,doctorate,operations management,3,78564,7875
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,47,5,college,operations management,3,91905,7614
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,60,5,high school,engineer,4,121728,7932
marketing,https://www.wikidata.org/wiki/Q39809,Male,27,4,college,management,1,54817,6519
salesperson,https://www.wikidata.org/wiki/Q685433,Male,20,3,college,operations management,1,37898,6448
information technology,https://www.wikidata.org/wiki/Q11661,Male,59,5,doctorate,operations management,1,79544,6760
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,20,3,high school,engineer,1,40056,7632
information technology,https://www.wikidata.org/wiki/Q11661,Female,45,4,college,operations management,2,70846,7404
marketing,https://www.wikidata.org/wiki/Q39809,Female,34,3,high school,marketing,5,79707,7196
software developer,https://www.wikidata.org/wiki/Q183888,Male,59,4,high school,operations management,4,124817,7268
manager,https://www.wikidata.org/wiki/Q2462658,Male,53,4,college,management,1,123114,6946
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,20,3,high school,operations management,3,62377,6999
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,28,3,master's degree,marketing,3,82850,5794
information technology,https://www.wikidata.org/wiki/Q11661,Female,38,4,high school,marketing,2,75932,7003
manager,https://www.wikidata.org/wiki/Q2462658,Male,43,3,doctorate,management,2,121949,6739
marketing,https://www.wikidata.org/wiki/Q39809,Female,36,3,doctorate,marketing,3,82755,7325
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,45,3,doctorate,government administration,5,122037,8147
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,19,2,master's degree,government administration,2,78021,6970
information technology,https://www.wikidata.org/wiki/Q11661,Male,18,4,doctorate,marketing,1,56309,7559
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,59,5,doctorate,management,1,90002,8123
information technology,https://www.wikidata.org/wiki/Q11661,Male,34,3,college,marketing,4,91066,6257
manager,https://www.wikidata.org/wiki/Q2462658,Male,32,3,master's degree,management,5,118088,7721
software developer,https://www.wikidata.org/wiki/Q183888,Male,29,3,master's degree,operations management,2,92099,7246
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,46,4,college,government administration,4,116758,7744
marketing,https://www.wikidata.org/wiki/Q39809,Female,49,5,high school,marketing,2,96500,8092
manager,https://www.wikidata.org/wiki/Q2462658,Male,48,3,college,management,5,138851,6929
marketing,https://www.wikidata.org/wiki/Q39809,Female,34,4,college,government administration,1,49632,7169
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,45,3,doctorate,management,3,76700,7242
information technology,https://www.wikidata.org/wiki/Q11661,Male,58,4,college,management,5,131275,6997
manager,https://www.wikidata.org/wiki/Q2462658,Male,21,2,doctorate,operations management,3,89648,6573
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,26,2,master's degree,government administration,5,100516,6737
manager,https://www.wikidata.org/wiki/Q2462658,Male,20,2,doctorate,operations management,4,112854,6564
software developer,https://www.wikidata.org/wiki/Q183888,Male,60,4,master's degree,marketing,5,155676,6586
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,57,4,college,marketing,4,135781,6042
salesperson,https://www.wikidata.org/wiki/Q685433,Female,47,3,college,engineer,2,84935,6122
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,31,4,high school,engineer,2,66407,7522
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,56,4,doctorate,marketing,3,101249,7329
manager,https://www.wikidata.org/wiki/Q2462658,Male,57,4,master's degree,government administration,4,143189,6321
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,63,5,doctorate,engineer,1,105800,7822
software developer,https://www.wikidata.org/wiki/Q183888,Male,63,5,college,operations management,2,124871,7327
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,23,3,high school,marketing,3,83894,6922
manager,https://www.wikidata.org/wiki/Q2462658,Female,45,2,high school,management,5,144146,6340
marketing,https://www.wikidata.org/wiki/Q39809,Female,46,4,doctorate,marketing,2,69268,7106
salesperson,https://www.wikidata.org/wiki/Q685433,Male,63,5,high school,marketing,1,85948,7646
software developer,https://www.wikidata.org/wiki/Q183888,Male,20,2,doctorate,engineer,4,92289,6643
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,45,4,high school,operations management,2,75397,6490
software developer,https://www.wikidata.org/wiki/Q183888,Male,65,4,high school,engineer,1,102597,5937
salesperson,https://www.wikidata.org/wiki/Q685433,Female,63,4,doctorate,engineer,3,127561,7552
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,26,3,high school,marketing,3,72945,7279
software developer,https://www.wikidata.org/wiki/Q183888,Male,60,3,doctorate,management,5,145632,6439
marketing,https://www.wikidata.org/wiki/Q39809,Female,36,3,master's degree,marketing,3,77223,5272
manager,https://www.wikidata.org/wiki/Q2462658,Male,63,5,master's degree,operations management,1,130093,6416
marketing,https://www.wikidata.org/wiki/Q39809,Male,33,3,doctorate,government administration,2,53220,5153
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,41,3,college,engineer,3,92080,6897
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,55,3,college,marketing,5,118762,6545
salesperson,https://www.wikidata.org/wiki/Q685433,Female,21,2,college,operations management,5,85398,7113
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,31,3,college,operations management,1,75227,6027
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,41,3,master's degree,government administration,4,104314,6611
manager,https://www.wikidata.org/wiki/Q2462658,Male,27,3,high school,operations management,1,83262,6884
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,55,3,master's degree,government administration,4,123172,5797
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,41,4,doctorate,government administration,1,67040,7412
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,33,3,college,government administration,1,77655,6581
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,46,3,college,government administration,3,107476,6182
software developer,https://www.wikidata.org/wiki/Q183888,Male,45,4,master's degree,operations management,2,89811,6471
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,47,3,college,government administration,5,106893,7958
software developer,https://www.wikidata.org/wiki/Q183888,Male,58,4,master's degree,engineer,5,154039,7304
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,64,4,high school,operations management,3,116774,6160
software developer,https://www.wikidata.org/wiki/Q183888,Male,40,2,high school,management,2,98281,5646
marketing,https://www.wikidata.org/wiki/Q39809,Female,18,3,high school,engineer,2,34208,6620
software developer,https://www.wikidata.org/wiki/Q183888,Male,42,3,master's degree,engineer,5,121821,6499
software developer,https://www.wikidata.org/wiki/Q183888,Male,30,2,master's degree,engineer,5,113122,6060
software developer,https://www.wikidata.org/wiki/Q183888,Male,39,4,doctorate,management,1,92154,7642
manager,https://www.wikidata.org/wiki/Q2462658,Male,31,3,doctorate,engineer,2,110643,7291
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,34,3,doctorate,government administration,1,82345,7211
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,32,3,doctorate,marketing,4,103908,8109
marketing,https://www.wikidata.org/wiki/Q39809,Female,24,3,high school,engineer,3,49303,6615
information technology,https://www.wikidata.org/wiki/Q11661,Female,46,4,high school,operations management,3,98456,7177
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,49,3,doctorate,operations management,4,94927,6274
software developer,https://www.wikidata.org/wiki/Q183888,Male,30,2,college,government administration,5,76654,6696
manager,https://www.wikidata.org/wiki/Q2462658,Male,46,4,master's degree,marketing,1,107859,6989
manager,https://www.wikidata.org/wiki/Q2462658,Female,53,4,high school,operations management,3,129885,7314
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,62,5,master's degree,marketing,1,85702,6556
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,63,4,master's degree,operations management,1,97797,5239
manager,https://www.wikidata.org/wiki/Q2462658,Male,18,1,master's degree,management,5,115567,4775
salesperson,https://www.wikidata.org/wiki/Q685433,Female,30,3,high school,government administration,4,91566,6996
salesperson,https://www.wikidata.org/wiki/Q685433,Female,61,3,doctorate,management,4,131608,6537
salesperson,https://www.wikidata.org/wiki/Q685433,Male,58,4,doctorate,government administration,3,118888,7438
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,55,4,college,marketing,2,75833,6942
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,36,3,college,engineer,2,65750,6177
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,65,4,college,management,4,123371,6931
marketing,https://www.wikidata.org/wiki/Q39809,Female,49,4,master's degree,marketing,3,76806,6662
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,38,3,college,management,3,83774,7127
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,22,1,doctorate,operations management,5,114733,6290
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,22,3,doctorate,government administration,2,69320,6765
salesperson,https://www.wikidata.org/wiki/Q685433,Male,51,3,doctorate,operations management,4,110746,5947
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,61,4,master's degree,engineer,2,105632,6394
manager,https://www.wikidata.org/wiki/Q2462658,Male,62,4,doctorate,engineer,1,117648,4765
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,21,1,doctorate,management,4,89170,6722
salesperson,https://www.wikidata.org/wiki/Q685433,Male,28,3,college,management,3,85986,8160
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,32,4,master's degree,marketing,3,78132,8035
manager,https://www.wikidata.org/wiki/Q2462658,Male,57,4,master's degree,operations management,3,135073,6898
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,52,4,high school,operations management,1,78751,6258
software developer,https://www.wikidata.org/wiki/Q183888,Male,64,5,high school,marketing,2,118231,7440
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,58,5,high school,operations management,1,86651,7250
information technology,https://www.wikidata.org/wiki/Q11661,Female,36,3,doctorate,management,3,75518,6711
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,44,3,master's degree,management,3,114693,6832
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,39,3,master's degree,engineer,4,116875,5479
information technology,https://www.wikidata.org/wiki/Q11661,Male,23,4,doctorate,government administration,1,64468,8113
marketing,https://www.wikidata.org/wiki/Q39809,Male,40,2,doctorate,marketing,5,116834,5516
marketing,https://www.wikidata.org/wiki/Q39809,Female,18,2,master's degree,management,5,75294,6496
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,63,3,college,management,5,127608,6558
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,43,3,college,marketing,5,116069,6432
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,50,3,high school,engineer,2,86122,6295
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,23,2,college,management,4,81988,7160
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,22,2,master's degree,marketing,2,68300,5953
manager,https://www.wikidata.org/wiki/Q2462658,Male,60,4,college,marketing,2,148178,6777
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,50,3,doctorate,operations management,2,94590,5327
salesperson,https://www.wikidata.org/wiki/Q685433,Female,33,2,college,engineer,4,87418,6430
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,25,3,college,government administration,1,68384,7443
manager,https://www.wikidata.org/wiki/Q2462658,Male,48,3,doctorate,operations management,1,106056,4161
software developer,https://www.wikidata.org/wiki/Q183888,Male,35,2,master's degree,management,3,110886,6228
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,37,2,master's degree,management,3,104082,5477
information technology,https://www.wikidata.org/wiki/Q11661,Female,43,3,master's degree,management,4,94354,7052
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,53,3,doctorate,engineer,5,128669,6866
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,40,3,doctorate,marketing,3,88725,6243
manager,https://www.wikidata.org/wiki/Q2462658,Male,56,3,master's degree,engineer,4,149771,5495
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,45,4,master's degree,management,2,98535,8001
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,57,4,doctorate,marketing,1,90713,6552
information technology,https://www.wikidata.org/wiki/Q11661,Male,33,3,college,management,3,88749,7433
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,49,3,master's degree,operations management,5,126100,6336
manager,https://www.wikidata.org/wiki/Q2462658,Male,23,3,college,marketing,3,110594,6753
manager,https://www.wikidata.org/wiki/Q2462658,Male,60,4,college,management,3,157644,7213
manager,https://www.wikidata.org/wiki/Q2462658,Female,41,3,doctorate,management,1,113009,6812
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,20,2,doctorate,engineer,4,105601,5943
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,56,4,high school,engineer,3,100769,6453
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,38,3,high school,government administration,2,82244,6020
marketing,https://www.wikidata.org/wiki/Q39809,Female,55,4,high school,government administration,2,72030,5569
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,20,1,college,management,3,66203,5627
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,34,2,high school,management,3,67210,5662
manager,https://www.wikidata.org/wiki/Q2462658,Female,32,2,doctorate,management,2,115383,5878
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,49,3,doctorate,engineer,4,120697,7205
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,29,3,doctorate,operations management,2,70311,6235
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,49,3,college,engineer,4,125770,7301
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,33,1,college,engineer,5,100465,5520
software developer,https://www.wikidata.org/wiki/Q183888,Male,30,2,college,government administration,4,83264,6251
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,61,3,doctorate,engineer,4,126375,6630
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,25,3,college,engineer,1,43076,5829
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,37,2,college,marketing,5,97846,7198
salesperson,https://www.wikidata.org/wiki/Q685433,Female,24,2,master's degree,management,3,76522,6900
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,42,3,doctorate,operations management,4,111726,5989
salesperson,https://www.wikidata.org/wiki/Q685433,Male,55,4,college,government administration,3,112188,6689
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,35,2,college,operations management,5,98959,6572
salesperson,https://www.wikidata.org/wiki/Q685433,Female,35,2,college,management,4,87131,6356
information technology,https://www.wikidata.org/wiki/Q11661,Male,40,3,college,government administration,3,77881,5569
information technology,https://www.wikidata.org/wiki/Q11661,Male,36,3,master's degree,engineer,2,65225,6462
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,30,4,master's degree,operations management,1,78472,8439
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,58,4,college,operations management,4,126269,6490
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,61,3,high school,management,3,106233,5792
information technology,https://www.wikidata.org/wiki/Q11661,Female,37,3,high school,marketing,2,56656,5914
information technology,https://www.wikidata.org/wiki/Q11661,Female,42,3,high school,engineer,2,70157,6016
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,41,2,doctorate,engineer,2,98366,6398
manager,https://www.wikidata.org/wiki/Q2462658,Male,59,4,college,engineer,2,127013,6124
software developer,https://www.wikidata.org/wiki/Q183888,Male,53,3,high school,management,3,106146,6618
manager,https://www.wikidata.org/wiki/Q2462658,Male,22,2,master's degree,operations management,4,90736,6219
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,44,3,doctorate,marketing,1,66611,5924
manager,https://www.wikidata.org/wiki/Q2462658,Male,57,3,doctorate,operations management,5,150914,5982
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,30,2,master's degree,management,4,70559,6497
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,33,3,college,marketing,1,73798,6224
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,22,2,high school,marketing,3,69734,5383
marketing,https://www.wikidata.org/wiki/Q39809,Female,52,3,high school,marketing,3,94763,5668
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,23,2,college,government administration,5,101534,6861
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,23,1,doctorate,management,5,91504,5136
salesperson,https://www.wikidata.org/wiki/Q685433,Female,19,1,college,management,4,90426,5020
manager,https://www.wikidata.org/wiki/Q2462658,Male,20,2,master's degree,operations management,3,100183,6363
information technology,https://www.wikidata.org/wiki/Q11661,Female,62,4,college,operations management,2,99369,6746
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,40,3,college,operations management,1,55845,6616
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,26,3,college,government administration,2,48570,6604
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,56,3,master's degree,engineer,3,98165,5470
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,57,3,master's degree,operations management,3,113274,6186
software developer,https://www.wikidata.org/wiki/Q183888,Male,23,2,master's degree,engineer,3,95754,6596
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,27,2,college,engineer,1,57915,4584
manager,https://www.wikidata.org/wiki/Q2462658,Male,53,4,college,marketing,2,121506,6122
